date,sender,emoji,unicode
2021-12-09,Mariam,:heart_suit:,U+2665
2022-06-20,Rio,:smiling_face:,U+263A
2024-03-08,Rio,:smiling_face:,U+263A
2024-03-10,Mariam,:smiling_face:,U+263A
2024-03-10,Mariam,💛,U+1F49B
2024-04-01,Mariam,:smiling_face:,U+263A
2024-04-04,Rio,:smiling_face:,U+263A
2024-04-05,Rio,😌,U+1F60C
2024-04-05,Rio,:melting_face:,U+1FAE0
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,:smiling_face:,U+263A
2024-04-11,Rio,:smiling_face:,U+263A
2024-04-12,Mariam,:smiling_face:,U+263A
2024-04-12,Mariam,😂,U+1F602
2024-04-12,Rio,:smiling_face:,U+263A
2024-04-12,Rio,:smiling_face:,U+263A
2024-04-13,Mariam,😂,U+1F602
2024-04-13,Mariam,😂,U+1F602
2024-04-13,Mariam,😌,U+1F60C
2024-04-13,Rio,:smiling_face:,U+263A
2024-04-13,Rio,😌,U+1F60C
2024-04-13,Rio,😌,U+1F60C
2024-04-14,Mariam,😌,U+1F60C
2024-04-14,Mariam,😌,U+1F60C
2024-04-14,Rio,:melting_face:,U+1FAE0
2024-04-14,Rio,:melting_face:,U+1FAE0
2024-04-14,Rio,:smiling_face:,U+263A
2024-04-14,Rio,:smiling_face:,U+263A
2024-04-14,Rio,:smiling_face:,U+263A
2024-04-14,Rio,😌,U+1F60C
2024-04-15,Rio,:smiling_face:,U+263A
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😌,U+1F60C
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,:smiling_face:,U+263A
2024-04-16,Rio,:smiling_face:,U+263A
2024-04-16,Rio,😌,U+1F60C
2024-04-16,Rio,:smiling_face:,U+263A
2024-04-16,Rio,😂,U+1F602
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,😌,U+1F60C
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Rio,:melting_face:,U+1FAE0
2024-04-17,Rio,:smiling_face:,U+263A
2024-04-18,Mariam,:smiling_face:,U+263A
2024-04-18,Mariam,😂,U+1F602
2024-04-18,Mariam,😂,U+1F602
2024-04-18,Rio,:smiling_face:,U+263A
2024-04-18,Rio,😂,U+1F602
2024-04-19,Mariam,:smiling_face:,U+263A
2024-04-19,Mariam,:smiling_face:,U+263A
2024-04-19,Mariam,:smiling_face:,U+263A
2024-04-19,Mariam,🥺,U+1F97A
2024-04-19,Mariam,🥺,U+1F97A
2024-04-19,Mariam,🥺,U+1F97A
2024-04-19,Rio,😌,U+1F60C
2024-04-19,Rio,:smiling_face:,U+263A
2024-04-19,Rio,:smiling_face:,U+263A
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,🥰,U+1F970
2024-04-20,Mariam,:smiling_face:,U+263A
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,🥺,U+1F97A
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,:smiling_face:,U+263A
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😌,U+1F60C
2024-04-20,Rio,😌,U+1F60C
2024-04-20,Rio,:smiling_face:,U+263A
2024-04-20,Rio,😌,U+1F60C
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,:smiling_face:,U+263A
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,😂,U+1F602
2024-04-20,Rio,:smiling_face:,U+263A
2024-04-20,Rio,:smiling_face:,U+263A
2024-04-20,Rio,:smiling_face:,U+263A
2024-04-21,Mariam,:smiling_face:,U+263A
2024-04-21,Mariam,:smiling_face:,U+263A
2024-04-21,Mariam,:smiling_face:,U+263A
2024-04-21,Mariam,:smiling_face:,U+263A
2024-04-21,Mariam,:smiling_face:,U+263A
2024-04-21,Mariam,🥰,U+1F970
2024-04-21,Mariam,:smiling_face:,U+263A
2024-04-21,Rio,:smiling_face:,U+263A
2024-04-21,Rio,:smiling_face:,U+263A
2024-04-21,Rio,:smiling_face:,U+263A
2024-04-22,Mariam,😂,U+1F602
2024-04-22,Mariam,😂,U+1F602
2024-04-22,Mariam,🥺,U+1F97A
2024-04-22,Mariam,🥰,U+1F970
2024-04-22,Mariam,😂,U+1F602
2024-04-22,Mariam,:smiling_face:,U+263A
2024-04-22,Mariam,:smiling_face:,U+263A
2024-04-22,Mariam,:smiling_face:,U+263A
2024-04-22,Rio,:smiling_face:,U+263A
2024-04-23,Mariam,🥺,U+1F97A
2024-04-23,Mariam,🥺,U+1F97A
2024-04-23,Mariam,😂,U+1F602
2024-04-23,Mariam,😂,U+1F602
2024-04-23,Mariam,😂,U+1F602
2024-04-23,Mariam,:smiling_face:,U+263A
2024-04-23,Mariam,:smiling_face:,U+263A
2024-04-23,Mariam,😌,U+1F60C
2024-04-23,Mariam,😂,U+1F602
2024-04-23,Rio,🥰,U+1F970
2024-04-23,Rio,:smiling_face:,U+263A
2024-04-23,Rio,😂,U+1F602
2024-04-23,Rio,:smiling_face:,U+263A
2024-04-23,Rio,😌,U+1F60C
2024-04-23,Rio,😂,U+1F602
2024-04-23,Rio,😌,U+1F60C
2024-04-23,Rio,:smiling_face:,U+263A
2024-04-23,Rio,:smiling_face:,U+263A
2024-04-23,Rio,😌,U+1F60C
2024-04-23,Rio,😂,U+1F602
2024-04-23,Rio,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,🥰,U+1F970
2024-04-24,Mariam,🥰,U+1F970
2024-04-24,Mariam,:smiling_face:,U+263A
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,:smiling_face:,U+263A
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,:smiling_face:,U+263A
2024-04-24,Mariam,:smiling_face:,U+263A
2024-04-24,Mariam,😂,U+1F602
2024-04-24,Mariam,🥺,U+1F97A
2024-04-24,Rio,😌,U+1F60C
2024-04-24,Rio,😌,U+1F60C
2024-04-24,Rio,😌,U+1F60C
2024-04-24,Rio,:smiling_face:,U+263A
2024-04-24,Rio,😌,U+1F60C
2024-04-24,Rio,😂,U+1F602
2024-04-24,Rio,😂,U+1F602
2024-04-24,Rio,😂,U+1F602
2024-04-24,Rio,:smiling_face:,U+263A
2024-04-24,Rio,:melting_face:,U+1FAE0
2024-04-24,Rio,:melting_face:,U+1FAE0
2024-04-24,Rio,:melting_face:,U+1FAE0
2024-04-24,Rio,:smiling_face:,U+263A
2024-04-24,Rio,:melting_face:,U+1FAE0
2024-04-24,Rio,😌,U+1F60C
2024-04-25,Mariam,:smiling_face:,U+263A
2024-04-25,Mariam,:smiling_face:,U+263A
2024-04-25,Mariam,😂,U+1F602
2024-04-25,Mariam,😂,U+1F602
2024-04-25,Mariam,😂,U+1F602
2024-04-25,Mariam,😂,U+1F602
2024-04-25,Mariam,:smiling_face:,U+263A
2024-04-25,Mariam,🥰,U+1F970
2024-04-25,Mariam,:smiling_face:,U+263A
2024-04-25,Mariam,:smiling_face:,U+263A
2024-04-25,Mariam,😂,U+1F602
2024-04-25,Rio,😂,U+1F602
2024-04-25,Rio,😌,U+1F60C
2024-04-25,Rio,😌,U+1F60C
2024-04-25,Rio,:smiling_face:,U+263A
2024-04-25,Rio,:smiling_face:,U+263A
2024-04-25,Rio,:smiling_face:,U+263A
2024-04-25,Rio,:smiling_face:,U+263A
2024-04-25,Rio,🥰,U+1F970
2024-04-25,Rio,:smiling_face:,U+263A
2024-04-25,Rio,:smiling_face:,U+263A
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,:smiling_face:,U+263A
2024-04-26,Mariam,:smiling_face:,U+263A
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Mariam,😂,U+1F602
2024-04-26,Rio,😂,U+1F602
2024-04-26,Rio,:smiling_face:,U+263A
2024-04-26,Rio,:smiling_face:,U+263A
2024-04-26,Rio,😂,U+1F602
2024-04-27,Mariam,🥰,U+1F970
2024-04-27,Mariam,🥺,U+1F97A
2024-04-27,Mariam,🥺,U+1F97A
2024-04-27,Mariam,🥺,U+1F97A
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,🥺,U+1F97A
2024-04-27,Mariam,:smiling_face:,U+263A
2024-04-27,Mariam,:smiling_face:,U+263A
2024-04-27,Mariam,🥰,U+1F970
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😂,U+1F602
2024-04-27,Mariam,😌,U+1F60C
2024-04-27,Mariam,:smiling_face:,U+263A
2024-04-27,Mariam,:smiling_face:,U+263A
2024-04-27,Rio,:smiling_face:,U+263A
2024-04-27,Rio,:smiling_face:,U+263A
2024-04-27,Rio,:smiling_face:,U+263A
2024-04-27,Rio,🥰,U+1F970
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,😌,U+1F60C
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,:smiling_face:,U+263A
2024-04-27,Rio,:melting_face:,U+1FAE0
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,😌,U+1F60C
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,😂,U+1F602
2024-04-27,Rio,:smiling_face:,U+263A
2024-04-27,Rio,🥰,U+1F970
2024-04-27,Rio,🥰,U+1F970
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,:smiling_face:,U+263A
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,🥰,U+1F970
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,:smiling_face:,U+263A
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,:smiling_face:,U+263A
2024-04-28,Mariam,:smiling_face:,U+263A
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,🥰,U+1F970
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Mariam,:smiling_face:,U+263A
2024-04-28,Mariam,:smiling_face:,U+263A
2024-04-28,Mariam,🥰,U+1F970
2024-04-28,Mariam,🥺,U+1F97A
2024-04-28,Mariam,😂,U+1F602
2024-04-28,Rio,:smiling_face:,U+263A
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,:smiling_face:,U+263A
2024-04-28,Rio,🥰,U+1F970
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,🥰,U+1F970
2024-04-28,Rio,😭,U+1F62D
2024-04-28,Rio,🥲,U+1F972
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,🥰,U+1F970
2024-04-28,Rio,🥰,U+1F970
2024-04-28,Rio,:smiling_face:,U+263A
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😌,U+1F60C
2024-04-28,Rio,:melting_face:,U+1FAE0
2024-04-28,Rio,:melting_face:,U+1FAE0
2024-04-28,Rio,🥰,U+1F970
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😌,U+1F60C
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,🥺,U+1F97A
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,😂,U+1F602
2024-04-28,Rio,:smiling_face:,U+263A
2024-04-28,Rio,🥰,U+1F970
2024-04-28,Rio,:smiling_face:,U+263A
2024-04-28,Rio,😌,U+1F60C
2024-04-28,Rio,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😌,U+1F60C
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,🥺,U+1F97A
2024-04-29,Mariam,🥺,U+1F97A
2024-04-29,Mariam,🥺,U+1F97A
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😂,U+1F602
2024-04-29,Mariam,😌,U+1F60C
2024-04-29,Mariam,:smiling_face:,U+263A
2024-04-29,Rio,:smiling_face:,U+263A
2024-04-29,Rio,😂,U+1F602
2024-04-29,Rio,😌,U+1F60C
2024-04-29,Rio,😌,U+1F60C
2024-04-29,Rio,🥰,U+1F970
2024-04-29,Rio,🥰,U+1F970
2024-04-29,Rio,:smiling_face:,U+263A
2024-04-29,Rio,😌,U+1F60C
2024-04-29,Rio,😌,U+1F60C
2024-04-29,Rio,😂,U+1F602
2024-04-29,Rio,😂,U+1F602
2024-04-29,Rio,:smiling_face:,U+263A
2024-04-29,Rio,:smiling_face:,U+263A
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😌,U+1F60C
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,🥰,U+1F970
2024-04-30,Mariam,🥰,U+1F970
2024-04-30,Mariam,🥰,U+1F970
2024-04-30,Mariam,🥰,U+1F970
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
2024-04-30,Mariam,😂,U+1F602
