date,sender,emoji,unicode
2021-11-26,Mariam,😊,U+1F60A
2021-11-26,Mariam,😊,U+1F60A
2021-11-26,Rio,😊,U+1F60A
2021-11-26,Rio,😊,U+1F60A
2021-12-08,Mariam,😊,U+1F60A
2021-12-08,Mariam,😊,U+1F60A
2021-12-09,Mariam,😊,U+1F60A
2021-12-09,Mariam,:heart_suit:,U+2665
2021-12-09,Rio,😊,U+1F60A
2022-06-20,Mariam,😊,U+1F60A
2022-06-20,Rio,:smiling_face:,U+263A
2022-11-03,Mariam,😅,U+1F605
2024-03-08,Mariam,🥳,U+1F973
2024-03-08,Mariam,🥳,U+1F973
2024-03-08,Mariam,🥳,U+1F973
2024-03-08,Rio,:smiling_face:,U+263A
2024-03-09,Rio,😅,U+1F605
2024-03-09,Rio,❤,U+2764
2024-03-10,Mariam,:smiling_face:,U+263A
2024-03-10,Mariam,💛,U+1F49B
2024-03-10,Mariam,🍃,U+1F343
2024-03-29,Mariam,🙃,U+1F643
2024-04-01,Mariam,:smiling_face:,U+263A
2024-04-01,Rio,☀,U+2600
2024-04-03,Mariam,✨,U+2728
2024-04-03,Rio,☀,U+2600
2024-04-04,Mariam,☀,U+2600
2024-04-04,Rio,:smiling_face:,U+263A
2024-04-05,Mariam,🤭,U+1F92D
2024-04-05,Mariam,🤭,U+1F92D
2024-04-05,Rio,😌,U+1F60C
2024-04-05,Rio,:melting_face:,U+1FAE0
2024-04-05,Rio,:face_holding_back_tears:,U+1F979
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,😂,U+1F602
2024-04-11,Mariam,:smiling_face:,U+263A
2024-04-11,Rio,:smiling_face:,U+263A
2024-04-12,Mariam,:smiling_face:,U+263A
2024-04-12,Mariam,😂,U+1F602
2024-04-12,Rio,:smiling_face:,U+263A
2024-04-12,Rio,:smiling_face:,U+263A
2024-04-12,Rio,✨,U+2728
2024-04-12,Rio,🚐,U+1F690
2024-04-12,Rio,🙃,U+1F643
2024-04-13,Mariam,😊,U+1F60A
2024-04-13,Mariam,😂,U+1F602
2024-04-13,Mariam,😂,U+1F602
2024-04-13,Mariam,😬,U+1F62C
2024-04-13,Mariam,😬,U+1F62C
2024-04-13,Mariam,😬,U+1F62C
2024-04-13,Mariam,🤔,U+1F914
2024-04-13,Mariam,😳,U+1F633
2024-04-13,Mariam,😳,U+1F633
2024-04-13,Mariam,😳,U+1F633
2024-04-13,Mariam,😊,U+1F60A
2024-04-13,Mariam,😌,U+1F60C
2024-04-13,Rio,:smiling_face:,U+263A
2024-04-13,Rio,☀,U+2600
2024-04-13,Rio,😌,U+1F60C
2024-04-13,Rio,🙃,U+1F643
2024-04-13,Rio,😌,U+1F60C
2024-04-13,Rio,🙃,U+1F643
2024-04-14,Mariam,😌,U+1F60C
2024-04-14,Mariam,😌,U+1F60C
2024-04-14,Mariam,😬,U+1F62C
2024-04-14,Mariam,🔥,U+1F525
2024-04-14,Mariam,🔥,U+1F525
2024-04-14,Mariam,🔥,U+1F525
2024-04-14,Rio,:melting_face:,U+1FAE0
2024-04-14,Rio,:melting_face:,U+1FAE0
2024-04-14,Rio,:smiling_face:,U+263A
2024-04-14,Rio,☀,U+2600
2024-04-14,Rio,:smiling_face:,U+263A
2024-04-14,Rio,:smiling_face:,U+263A
2024-04-14,Rio,😌,U+1F60C
2024-04-14,Rio,☀,U+2600
2024-04-15,Mariam,😅,U+1F605
2024-04-15,Rio,:smiling_face:,U+263A
2024-04-15,Rio,☀,U+2600
2024-04-16,Mariam,🤓,U+1F913
2024-04-16,Mariam,🙈,U+1F648
2024-04-16,Mariam,😚,U+1F61A
2024-04-16,Mariam,😚,U+1F61A
2024-04-16,Mariam,☀,U+2600
2024-04-16,Mariam,😊,U+1F60A
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,🙃,U+1F643
2024-04-16,Mariam,😅,U+1F605
2024-04-16,Mariam,😳,U+1F633
2024-04-16,Mariam,😌,U+1F60C
2024-04-16,Mariam,👏,U+1F44F
2024-04-16,Mariam,🏽,U+1F3FD
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,😂,U+1F602
2024-04-16,Mariam,:smiling_face:,U+263A
2024-04-16,Rio,🙈,U+1F648
2024-04-16,Rio,☀,U+2600
2024-04-16,Rio,😚,U+1F61A
2024-04-16,Rio,:smiling_face:,U+263A
2024-04-16,Rio,👌,U+1F44C
2024-04-16,Rio,🏻,U+1F3FB
2024-04-16,Rio,😅,U+1F605
2024-04-16,Rio,😌,U+1F60C
2024-04-16,Rio,:smiling_face:,U+263A
2024-04-16,Rio,😅,U+1F605
2024-04-16,Rio,😂,U+1F602
2024-04-16,Rio,😚,U+1F61A
2024-04-16,Rio,✨,U+2728
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,🙈,U+1F648
2024-04-17,Mariam,😌,U+1F60C
2024-04-17,Mariam,🙃,U+1F643
2024-04-17,Mariam,🙃,U+1F643
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,🙈,U+1F648
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,:smiling_face:,U+263A
2024-04-17,Mariam,😅,U+1F605
2024-04-17,Rio,🙃,U+1F643
2024-04-17,Rio,🙈,U+1F648
2024-04-17,Rio,:melting_face:,U+1FAE0
2024-04-17,Rio,✨,U+2728
2024-04-17,Rio,:smiling_face:,U+263A
2024-04-18,Mariam,☀,U+2600
2024-04-18,Mariam,:smiling_face:,U+263A
2024-04-18,Mariam,🤭,U+1F92D
2024-04-18,Mariam,🙃,U+1F643
2024-04-18,Mariam,😅,U+1F605
2024-04-18,Mariam,😂,U+1F602
2024-04-18,Mariam,😂,U+1F602
2024-04-18,Mariam,😬,U+1F62C
2024-04-18,Mariam,🫂,U+1FAC2
2024-04-18,Mariam,🫂,U+1FAC2
2024-04-18,Mariam,😅,U+1F605
2024-04-18,Rio,:smiling_face:,U+263A
2024-04-18,Rio,🙃,U+1F643
2024-04-18,Rio,🙃,U+1F643
2024-04-18,Rio,☀,U+2600
2024-04-18,Rio,😂,U+1F602
2024-04-18,Rio,😅,U+1F605
2024-04-18,Rio,👌,U+1F44C
2024-04-18,Rio,🏻,U+1F3FB
2024-04-19,Mariam,:smiling_face:,U+263A
2024-04-19,Mariam,:smiling_face:,U+263A
2024-04-19,Mariam,:smiling_face:,U+263A
2024-04-19,Mariam,🥺,U+1F97A
2024-04-19,Mariam,🥺,U+1F97A
2024-04-19,Mariam,🥺,U+1F97A
2024-04-19,Mariam,🌲,U+1F332
2024-04-19,Mariam,😁,U+1F601
2024-04-19,Mariam,😁,U+1F601
2024-04-19,Mariam,😬,U+1F62C
2024-04-19,Rio,😌,U+1F60C
2024-04-19,Rio,✨,U+2728
2024-04-19,Rio,✨,U+2728
2024-04-19,Rio,:smiling_face:,U+263A
2024-04-19,Rio,:smiling_face:,U+263A
2024-04-19,Rio,😚,U+1F61A
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😚,U+1F61A
2024-04-20,Mariam,😚,U+1F61A
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,😂,U+1F602
2024-04-20,Mariam,🥰,U+1F970
